date,headline,abstract,snippet,lead_paragraph,web_url,section,subsection,byline,document_type,news_desk,type_of_material,word_count,source,keywords
2022-02-24T01:12:37Z,How Much Snow Will Fall Where You Live?,Type in your community to see the full range of possibilities in the next few days.,Type in your community to see the full range of possibilities in the next few days.,,https://www.nytimes.com/interactive/2026/upshot/snow-forecast-totals-lookup.html,The Upshot,,"By Aatish Bhatia, Josh Katz, Margot Sanger-Katz and Samuel Jacoby",interactive,Upshot,Interactive Feature,0,The New York Times,"Snow and Snowstorms, Weather, National Weather Service, Statistics"
2022-07-12T17:52:36Z,Tracking Dangerous Heat in the U.S.,See detailed maps of the latest heat index forecasts in the United States.,See detailed maps of the latest heat index forecasts in the United States.,,https://www.nytimes.com/interactive/2022/us/heat-wave-map-tracker.html,U.S.,,"By Matthew Bloch, Lazaro Gamio, Zach Levitt, Eleanor Lutz, Bea Malsky and John-Michael Murphy",interactive,Weather,Interactive Feature,0,The New York Times,"Heat and Heat Waves, United States"
2022-06-30T19:02:25Z,How does The New York Times handle corrections?,Explaining the policies and processes that define our journalism.,Explaining the policies and processes that define our journalism.,,https://www.nytimes.com/article/new-york-times-corrections.html,Reader Center,,,article,Insider,News,227,The New York Times,"Newspapers, News and News Media, New York Times, Correction Stories"
2022-01-07T19:48:38Z,22 One-Pot Vegetarian Recipes That Keep Effort to a Minimum,Resolve to wash fewer dishes in 2026.,Resolve to wash fewer dishes in 2026.,,https://cooking.nytimes.com/article/one-pot-vegetarian-recipes,Food,,By Tanya Sichynsky and Sharon Attia,article,Dining,NYT Cooking,1726,The New York Times,"Vegetarianism, Vegetables, Recipes, Content Type: Service"
2022-03-23T00:00:00Z,Hara Masala Murgh (Green Masala Chicken),"As is the case with every South Asian dish, variations of hara masala murgh abound. In the south of India, fresh desiccated coconut is used in place of yogurt, which is a common ingredient in the northern parts of Pakistan and India. The stalwarts of the dish across regions are copious amounts of fresh cilantro and mint — hence its name hara masala, which means green masala. In Lahore, it is commonly found on restaurant menus, and its peppery herbaceousness is a welcome reprieve from the tomato-onion gravies typical in Punjabi cooking. This version uses thinly sliced chicken breast. It also skips over the tedium of grinding almonds in favor of using almond butter. These two shortcuts mean a quicker cooking time and a creamy texture.",,,https://cooking.nytimes.com/recipes/1023054-hara-masala-murgh-green-masala-chicken,,,Zainab Shah,recipe,,Recipe,0,,"chicken breast, cilantro, dinner, indian, main course, mint, poultry, weeknight, yogurt"
2022-02-07T00:00:00Z,Brodo di Pollo con Pastina (Chicken Soup With Pastina),"Pastina means “tiny pasta,” and it’s often the first pasta shape Italian children are introduced to, typically cooked in broth. Pastina comes in a variety of shapes, like little stars and rounds. For this recipe, you can use any tiny shape you like, or use noodles broken into small pieces. Typically, the pastina is precooked in a separate pot and added to each soup bowl alongside shredded chicken, but this version cooks everything together for an easy one-pot meal. And this comforting chicken soup does not require premade or even store-bought broth: Instead, boneless, skinless chicken breasts cook in water with aromatics like onion, carrots, celery and garlic — and a good drizzle of olive oil — for a rich, flavorful broth that comes together fairly quickly.",,,https://cooking.nytimes.com/recipes/1022969-brodo-di-pollo-con-pastina-chicken-soup-with-pastina,,,Naz Deravian,recipe,,Recipe,0,,"chicken breast, chicken soup, dinner, easy, italian, lunch, main course, one pot, orzo, winter"
2022-08-18T00:00:00Z,Sesame Broccoli,"Mild broccoli gets energized by this textured, rich dressing spiked with sweet miso and soy sauce. Crushed toasted sesame seeds create the intense flavor base for this rich, super nutty sauce. The dish is a great side to accompany any grilled or roasted protein; it can be made a few hours in advance and is equally tasty chilled or at room temperature. Any leftovers can be chopped and tossed with warm pasta and grated Parmesan the next day.",,,https://cooking.nytimes.com/recipes/1023309-sesame-broccoli,,,Kay Chun,recipe,,Recipe,0,,"broccoli florets, cooking 101, miso, side dish, vegetables"
2022-09-21T00:00:00Z,Beer Cheese,"Some say this classic pub snack originated in Kentucky, but you can typically find it in bars all around, usually served with warm pretzel bites or vegetables. There are two different styles of beer cheese: a spreadable, thick version and a creamier fondue-style type like this one. Though optional, adding a bit of miso brings out the beer flavor and adds a bit of saltiness that eliminates the need to add any salt to the dish. Either way, make sure to choose a beer that tastes good to you.",,,https://cooking.nytimes.com/recipes/1023494-beer-cheese,,,Romel Bruno,recipe,,Recipe,0,,"appetizer, beer, dips and spreads, easy, make-ahead, quick, sharp cheddar, snack, super bowl, vegetarian"
2023-12-09T10:00:29Z,Fears of a NATO Withdrawal Rise as Trump Seeks a Return to Power,Current and former European diplomats said there was growing concern a second Trump presidency could mean an American retreat from the continent and a gutting of NATO.,Current and former European diplomats said there was growing concern a second Trump presidency could mean an American retreat from the continent and a gutting of NATO.,,https://www.nytimes.com/2023/12/09/us/politics/trump-2025-nato.html,U.S.,Politics,"By Jonathan Swan, Charlie Savage and Maggie Haberman",article,Politics,News,2508,The New York Times,"Presidential Election of 2024, Trump, Donald J, Europe, North Atlantic Treaty Organization, Defense and Military Forces, United States International Relations, Treaties, Russia, Ukraine, Russian Invasion of Ukraine (2022)"
2023-12-26T10:01:11Z,A New Tax on Imports and a Split From China: Trump’s 2025 Trade Agenda,"Donald J. Trump plans to sharply expand his use of tariffs if he returns to power, risking disruption to the economy in an attempt to transform it.","Donald J. Trump plans to sharply expand his use of tariffs if he returns to power, risking disruption to the economy in an attempt to transform it.",,https://www.nytimes.com/2023/12/26/us/politics/trump-2025-trade-china.html,U.S.,Politics,"By Charlie Savage, Jonathan Swan and Maggie Haberman",article,Politics,News,2572,The New York Times,"Trump, Donald J, Presidential Election of 2024, Lighthizer, Robert E, United States Economy, Customs (Tariff), International Trade and World Market, China, Factories and Manufacturing"
